,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
0,bredasdorp,-34.5322,20.0403,80.6,54,0,10.36,1612608561
1,airai,-8.9266,125.4092,62.47,94,100,1.79,1612608558
2,sawtell,-30.3833,153.1,73.4,94,90,4.61,1612609027
3,ishigaki,24.3448,124.1572,68.0,77,20,3.44,1612609027
4,thompson,55.7435,-97.8558,-31.0,68,40,13.8,1612608571
5,belmonte,-15.8631,-38.8828,78.8,83,20,9.22,1612609027
6,diplo,24.4667,69.584,83.52,13,0,9.28,1612609027
7,samarai,-10.6167,150.6667,83.59,76,59,5.39,1612609027
8,yumen,40.2833,97.2,35.26,64,96,10.49,1612608604
9,port blair,11.6667,92.75,80.96,70,2,9.62,1612608582
10,bengkulu,-3.8004,102.2655,82.49,77,86,6.31,1612608563
11,billings,45.7833,-108.5007,3.99,85,90,10.36,1612608814
12,busselton,-33.65,115.3333,66.99,68,100,3.0,1612608552
13,maracacume,-2.0428,-45.9592,78.24,81,55,4.94,1612609029
14,lerwick,60.1545,-1.1494,35.6,64,40,26.46,1612609029
15,barrow,71.2906,-156.7887,-5.8,84,90,6.89,1612608582
16,rikitea,-23.1203,-134.9692,77.52,71,94,12.08,1612608553
17,hithadhoo,-0.6,73.0833,82.58,77,100,14.16,1612608305
18,puerto ayora,-0.7393,-90.3518,75.99,98,53,10.04,1612608555
19,baykit,61.67,96.37,2.08,90,100,3.38,1612608624
20,tuatapere,-46.1333,167.6833,52.83,89,3,2.39,1612608567
21,bluff,-46.6,168.3333,55.69,86,0,4.07,1612608556
22,georgetown,5.4112,100.3354,87.8,66,20,10.36,1612608300
23,chapada dos guimaraes,-15.4606,-55.7497,77.0,78,75,4.61,1612609030
24,mataura,-46.1927,168.8643,51.64,93,3,1.41,1612608559
25,upernavik,72.7868,-56.1549,14.86,80,100,5.28,1612608563
26,mezen,65.8522,44.24,-0.31,91,99,7.67,1612609031
27,new norfolk,-42.7826,147.0587,60.01,76,81,1.68,1612608568
28,ilulissat,69.2167,-51.1,15.8,32,100,19.57,1612608598
29,pevek,69.7008,170.3133,-8.37,86,100,2.19,1612608591
30,atuona,-9.8,-139.0333,79.11,81,17,22.82,1612608556
31,yerbogachen,61.2767,108.0108,-2.33,92,100,2.95,1612608626
32,adre,13.4667,22.2,81.1,14,49,21.12,1612609032
33,albany,42.6001,-73.9662,26.6,68,75,4.61,1612608564
34,margate,51.3813,1.3862,46.99,88,54,1.01,1612608593
35,klaksvik,62.2266,-6.589,32.0,100,40,20.71,1612608590
36,east london,-33.0153,27.9116,78.8,89,75,14.97,1612608555
37,chopovychi,50.8332,28.9533,24.08,91,86,8.72,1612609032
38,pacific grove,36.6177,-121.9166,48.2,71,1,8.05,1612608579
39,beira,-19.8436,34.8389,87.8,70,75,5.75,1612609032
40,kruisfontein,-34.0033,24.7314,83.7,49,0,13.58,1612608597
41,sanghar,26.0466,68.9481,84.2,26,0,4.61,1612609032
42,bandarbeyla,9.4942,50.8122,78.13,68,0,11.65,1612608587
43,arraial do cabo,-22.9661,-42.0278,71.6,94,75,5.75,1612608606
44,naze,28.3667,129.4833,64.4,88,75,4.61,1612608579
45,bar,49.0772,27.6826,24.01,58,99,3.27,1612609033
46,kodiak,57.79,-152.4072,32.0,55,1,9.22,1612608587
47,upington,-28.4478,21.2561,95.0,18,20,3.44,1612609033
48,khasan,42.4308,130.6434,24.46,97,100,4.52,1612609034
49,shieli,44.1667,66.75,46.35,59,100,14.43,1612609034
50,high rock,26.6208,-78.2833,73.4,88,75,6.91,1612609034
51,riyadh,24.6877,46.7219,69.8,49,75,9.22,1612608905
52,vardo,70.3705,31.1107,23.0,74,40,13.8,1612608559
53,avarua,-21.2078,-159.775,75.2,94,82,1.14,1612608563
54,ust-maya,60.4167,134.5333,-25.31,85,100,1.54,1612609034
55,hailey,43.5196,-114.3153,28.4,54,1,9.22,1612609034
56,jamestown,42.097,-79.2353,17.01,67,1,17.27,1612608555
57,luleburgaz,41.4039,27.3592,57.2,82,75,10.36,1612609034
58,ancud,-41.8697,-73.8203,57.0,85,0,2.44,1612608591
59,ushuaia,-54.8,-68.3,42.8,70,0,1.97,1612608554
60,tarbes,43.25,0.1667,50.0,93,90,6.91,1612609034
61,sao filipe,14.8961,-24.4956,70.36,70,9,14.36,1612608611
62,lakatoro,-16.0999,167.4164,80.35,74,18,2.93,1612609035
63,esperance,-33.8667,121.9,62.6,77,75,18.41,1612608286
64,ponta do sol,32.6667,-17.1,55.0,63,52,4.0,1612608578
65,caravelas,-17.7125,-39.2481,80.82,81,87,10.6,1612608586
66,porto walter,-8.2686,-72.7439,71.53,94,90,1.1,1612608622
67,tsaratanana,-16.7833,47.65,87.8,51,57,6.24,1612609036
68,grand gaube,-20.0064,57.6608,84.99,72,85,7.0,1612608590
69,tuktoyaktuk,69.4541,-133.0374,-17.88,84,100,11.16,1612608556
70,chuy,-33.6971,-53.4616,61.9,82,10,8.1,1612608603
71,nikolskoye,59.7035,30.7861,10.4,79,75,13.42,1612608554
72,saint-philippe,-21.3585,55.7679,86.0,62,90,11.5,1612608559
73,neiafu,-18.65,-173.9833,79.38,89,93,26.53,1612609037
74,salalah,17.0151,54.0924,78.8,50,20,12.66,1612608627
75,khatanga,71.9667,102.5,-36.24,77,6,4.52,1612608575
76,matay,28.419,30.7792,71.01,39,17,8.46,1612609037
77,vila franca do campo,37.7167,-25.4333,59.0,82,20,9.22,1612609037
78,hermanus,-34.4187,19.2345,79.0,60,0,3.0,1612608554
79,makokou,0.5738,12.8642,80.6,78,90,2.93,1612609037
80,kapaa,22.0752,-159.319,60.8,82,1,6.91,1612608561
81,namatanai,-3.6667,152.4333,79.59,80,99,3.49,1612608603
82,acapulco,16.8634,-99.8901,73.4,81,13,3.58,1612608588
83,novyy yarychiv,49.9044,24.3052,28.4,59,0,6.71,1612609038
84,mahebourg,-20.4081,57.7,86.0,66,40,11.5,1612608584
85,kozhanka,49.9793,29.7381,24.8,68,40,11.18,1612609038
86,pochutla,15.7432,-96.4661,73.99,90,81,3.87,1612608633
87,yangambi,0.8102,24.4336,92.73,35,22,4.65,1612609039
88,high level,58.5169,-117.136,-31.0,82,1,2.3,1612609039
89,akonolinga,3.7667,12.25,92.88,21,6,5.37,1612609039
90,leningradskiy,69.3833,178.4167,-14.26,85,82,7.11,1612608614
91,saint-augustin,51.226,-58.6502,32.74,96,100,7.47,1612609039
92,tigil,57.8,158.6667,10.33,91,100,6.64,1612608601
93,norrtalje,59.758,18.705,23.0,79,75,9.22,1612609039
94,bubaque,11.2833,-15.8333,73.99,53,75,19.37,1612608554
95,phalaborwa,-23.943,31.1411,75.2,94,97,5.75,1612609040
96,tasiilaq,65.6145,-37.6368,26.6,63,75,3.44,1612608586
97,torbay,47.6666,-52.7314,33.01,86,75,16.11,1612608601
98,iskateley,67.6803,53.1512,-15.43,87,58,12.66,1612609040
99,pulandian,39.3953,121.9669,39.2,56,0,6.71,1612609040
100,mareeba,-17.0,145.4333,82.4,78,90,4.61,1612608602
101,pisco,-13.7,-76.2167,66.99,88,98,4.47,1612608569
102,ojinaga,29.5667,-104.4167,50.0,32,1,3.44,1612609040
103,boyolangu,-8.1181,111.8935,78.66,83,93,0.96,1612609040
104,katsuura,35.1333,140.3,51.8,71,0,2.3,1612609040
105,lebu,-37.6167,-73.65,58.5,93,96,7.58,1612608571
106,qaanaaq,77.484,-69.3632,5.31,85,100,6.73,1612608570
107,yar-sale,66.8333,70.8333,-27.83,85,100,14.76,1612608601
108,kavieng,-2.5744,150.7967,81.82,67,100,2.26,1612608599
109,missoula,47.0166,-113.8009,33.01,86,75,2.75,1612609041
110,dudinka,69.4058,86.1778,-29.69,82,28,9.13,1612609041
111,kisoro,-1.2854,29.685,73.83,45,98,4.65,1612609041
112,asau,46.4333,26.4,32.0,75,100,1.28,1612609041
113,aurora,39.7294,-104.8319,34.0,55,40,21.85,1612608811
114,mar del plata,-38.0023,-57.5575,73.4,53,0,10.36,1612608554
115,san rafael,-34.6177,-68.3301,73.4,48,0,6.24,1612609041
116,yellowknife,62.456,-114.3525,-40.0,66,1,6.91,1612608554
117,rocha,-34.4833,-54.3333,64.87,67,0,4.18,1612609042
118,deputatskiy,69.3,139.9,-26.99,88,100,2.71,1612608576
119,katsina,12.9894,7.6006,82.06,15,42,17.58,1612609042
120,zhigalovo,54.8097,105.1578,8.49,92,100,3.09,1612609042
121,isangel,-19.55,169.2667,79.14,78,9,4.74,1612608568
122,castro,-24.7911,-50.0119,60.53,79,0,2.89,1612608578
123,severo-kurilsk,50.6789,156.125,18.14,94,100,18.23,1612608595
124,longkou,37.6508,120.3286,37.54,79,0,11.97,1612609043
125,fortuna,40.5982,-124.1573,46.99,93,90,4.38,1612608573
126,gamba,-2.65,10.0,84.52,73,92,5.84,1612608627
127,broken hill,-31.95,141.4333,73.4,46,0,18.41,1612609043
128,tuy hoa,13.0833,109.3,71.94,85,55,8.32,1612608759
129,atar,20.5169,-13.0499,64.8,39,48,15.52,1612608623
130,goshen,41.5823,-85.8344,7.0,72,75,12.66,1612609043
131,hilo,19.7297,-155.09,64.4,77,1,6.91,1612608314
